x,y,z
1.07246222,0,-0.899902654
1.065718803,0.120077671,-0.899902654
1.045573353,0.238645295,-0.899902654
1.012279212,0.354211816,-0.899902654
0.966255073,0.465323918,-0.899902654
0.908079715,0.570584302,-0.899902654
0.838484728,0.668669257,-0.899902654
0.758345309,0.758345309,-0.899902654
0.668669257,0.838484728,-0.899902654
0.570584302,0.908079715,-0.899902654
0.465323918,0.966255073,-0.899902654
0.354211816,1.012279212,-0.899902654
0.238645295,1.045573353,-0.899902654
0.120077671,1.065718803,-0.899902654
6.57E-17,1.07246222,-0.899902654
-0.120077671,1.065718803,-0.899902654
-0.238645295,1.045573353,-0.899902654
-0.354211816,1.012279212,-0.899902654
-0.465323918,0.966255073,-0.899902654
-0.570584302,0.908079715,-0.899902654
-0.668669257,0.838484728,-0.899902654
-0.758345309,0.758345309,-0.899902654
-0.838484728,0.668669257,-0.899902654
-0.908079715,0.570584302,-0.899902654
-0.966255073,0.465323918,-0.899902654
-1.012279212,0.354211816,-0.899902654
-1.045573353,0.238645295,-0.899902654
-1.065718803,0.120077671,-0.899902654
-1.07246222,1.31E-16,-0.899902654
-1.065718803,-0.120077671,-0.899902654
-1.045573353,-0.238645295,-0.899902654
-1.012279212,-0.354211816,-0.899902654
-0.966255073,-0.465323918,-0.899902654
-0.908079715,-0.570584302,-0.899902654
-0.838484728,-0.668669257,-0.899902654
-0.758345309,-0.758345309,-0.899902654
-0.668669257,-0.838484728,-0.899902654
-0.570584302,-0.908079715,-0.899902654
-0.465323918,-0.966255073,-0.899902654
-0.354211816,-1.012279212,-0.899902654
-0.238645295,-1.045573353,-0.899902654
-0.120077671,-1.065718803,-0.899902654
-1.97E-16,-1.07246222,-0.899902654
0.120077671,-1.065718803,-0.899902654
0.238645295,-1.045573353,-0.899902654
0.354211816,-1.012279212,-0.899902654
0.465323918,-0.966255073,-0.899902654
0.570584302,-0.908079715,-0.899902654
0.668669257,-0.838484728,-0.899902654
0.758345309,-0.758345309,-0.899902654
0.838484728,-0.668669257,-0.899902654
0.908079715,-0.570584302,-0.899902654
0.966255073,-0.465323918,-0.899902654
1.012279212,-0.354211816,-0.899902654
1.045573353,-0.238645295,-0.899902654
1.065718803,-0.120077671,-0.899902654
1.212435565,0,-0.7
1.205793716,0.126734026,-0.7
1.185940939,0.252079528,-0.7
1.153094745,0.374663194,-0.7
1.107615003,0.493141972,-0.7
1.05,0.606217783,-0.7
0.980880977,0.712651745,-0.7
0.901015217,0.811277745,-0.7
0.811277745,0.901015217,-0.7
0.712651745,0.980880977,-0.7
0.606217783,1.05,-0.7
0.493141972,1.107615003,-0.7
0.374663194,1.153094745,-0.7
0.252079528,1.185940939,-0.7
0.126734026,1.205793716,-0.7
7.42E-17,1.212435565,-0.7
-0.126734026,1.205793716,-0.7
-0.252079528,1.185940939,-0.7
-0.374663194,1.153094745,-0.7
-0.493141972,1.107615003,-0.7
-0.606217783,1.05,-0.7
-0.712651745,0.980880977,-0.7
-0.811277745,0.901015217,-0.7
-0.901015217,0.811277745,-0.7
-0.980880977,0.712651745,-0.7
-1.05,0.606217783,-0.7
-1.107615003,0.493141972,-0.7
-1.153094745,0.374663194,-0.7
